
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    0.0.0.0:135            Puget-89256:0          LISTENING
  TCP    0.0.0.0:445            Puget-89256:0          LISTENING
  TCP    0.0.0.0:1801           Puget-89256:0          LISTENING
  TCP    0.0.0.0:2020           Puget-89256:0          LISTENING
  TCP    0.0.0.0:2040           Puget-89256:0          LISTENING
  TCP    0.0.0.0:2103           Puget-89256:0          LISTENING
  TCP    0.0.0.0:2105           Puget-89256:0          LISTENING
  TCP    0.0.0.0:2107           Puget-89256:0          LISTENING
  TCP    0.0.0.0:2968           Puget-89256:0          LISTENING
  TCP    0.0.0.0:3445           Puget-89256:0          LISTENING
  TCP    0.0.0.0:5040           Puget-89256:0          LISTENING
  TCP    0.0.0.0:7680           Puget-89256:0          LISTENING
  TCP    0.0.0.0:10001          Puget-89256:0          LISTENING
  TCP    0.0.0.0:17500          Puget-89256:0          LISTENING
  TCP    0.0.0.0:49664          Puget-89256:0          LISTENING
  TCP    0.0.0.0:49665          Puget-89256:0          LISTENING
  TCP    0.0.0.0:49666          Puget-89256:0          LISTENING
  TCP    0.0.0.0:49667          Puget-89256:0          LISTENING
  TCP    0.0.0.0:49668          Puget-89256:0          LISTENING
  TCP    0.0.0.0:49682          Puget-89256:0          LISTENING
  TCP    0.0.0.0:49736          Puget-89256:0          LISTENING
  TCP    0.0.0.0:52399          Puget-89256:0          LISTENING
  TCP    0.0.0.0:53680          Puget-89256:0          LISTENING
  TCP    127.0.0.1:80           Puget-89256:0          LISTENING
  TCP    127.0.0.1:843          Puget-89256:0          LISTENING
  TCP    127.0.0.1:5354         Puget-89256:0          LISTENING
  TCP    127.0.0.1:5354         Puget-89256:49872      ESTABLISHED
  TCP    127.0.0.1:5354         Puget-89256:49873      ESTABLISHED
  TCP    127.0.0.1:6942         Puget-89256:0          LISTENING
  TCP    127.0.0.1:8888         Puget-89256:0          LISTENING
  TCP    127.0.0.1:8889         Puget-89256:0          LISTENING
  TCP    127.0.0.1:15292        Puget-89256:0          LISTENING
  TCP    127.0.0.1:15393        Puget-89256:0          LISTENING
  TCP    127.0.0.1:16494        Puget-89256:0          LISTENING
  TCP    127.0.0.1:17600        Puget-89256:0          LISTENING
  TCP    127.0.0.1:27015        Puget-89256:0          LISTENING
  TCP    127.0.0.1:45623        Puget-89256:0          LISTENING
  TCP    127.0.0.1:45777        Puget-89256:0          LISTENING
  TCP    127.0.0.1:49872        Puget-89256:5354       ESTABLISHED
  TCP    127.0.0.1:49873        Puget-89256:5354       ESTABLISHED
  TCP    127.0.0.1:50067        Puget-89256:0          LISTENING
  TCP    127.0.0.1:50067        Puget-89256:50998      ESTABLISHED
  TCP    127.0.0.1:50068        Puget-89256:0          LISTENING
  TCP    127.0.0.1:50086        Puget-89256:50087      ESTABLISHED
  TCP    127.0.0.1:50087        Puget-89256:50086      ESTABLISHED
  TCP    127.0.0.1:50093        Puget-89256:50094      ESTABLISHED
  TCP    127.0.0.1:50094        Puget-89256:50093      ESTABLISHED
  TCP    127.0.0.1:50985        Puget-89256:0          LISTENING
  TCP    127.0.0.1:50998        Puget-89256:50067      ESTABLISHED
  TCP    127.0.0.1:55895        Puget-89256:55896      ESTABLISHED
  TCP    127.0.0.1:55896        Puget-89256:55895      ESTABLISHED
  TCP    127.0.0.1:55897        Puget-89256:55898      ESTABLISHED
  TCP    127.0.0.1:55898        Puget-89256:55897      ESTABLISHED
  TCP    127.0.0.1:55899        Puget-89256:55900      ESTABLISHED
  TCP    127.0.0.1:55900        Puget-89256:55899      ESTABLISHED
  TCP    127.0.0.1:55912        Puget-89256:55913      ESTABLISHED
  TCP    127.0.0.1:55913        Puget-89256:55912      ESTABLISHED
  TCP    127.0.0.1:55914        Puget-89256:55915      ESTABLISHED
  TCP    127.0.0.1:55915        Puget-89256:55914      ESTABLISHED
  TCP    127.0.0.1:55916        Puget-89256:55917      ESTABLISHED
  TCP    127.0.0.1:55917        Puget-89256:55916      ESTABLISHED
  TCP    127.0.0.1:55918        Puget-89256:55919      ESTABLISHED
  TCP    127.0.0.1:55919        Puget-89256:55918      ESTABLISHED
  TCP    127.0.0.1:55920        Puget-89256:55921      ESTABLISHED
  TCP    127.0.0.1:55921        Puget-89256:55920      ESTABLISHED
  TCP    127.0.0.1:55922        Puget-89256:55923      ESTABLISHED
  TCP    127.0.0.1:55923        Puget-89256:55922      ESTABLISHED
  TCP    127.0.0.1:55924        Puget-89256:55925      ESTABLISHED
  TCP    127.0.0.1:55925        Puget-89256:55924      ESTABLISHED
  TCP    127.0.0.1:55926        Puget-89256:55927      ESTABLISHED
  TCP    127.0.0.1:55927        Puget-89256:55926      ESTABLISHED
  TCP    127.0.0.1:55928        Puget-89256:55929      ESTABLISHED
  TCP    127.0.0.1:55929        Puget-89256:55928      ESTABLISHED
  TCP    127.0.0.1:55930        Puget-89256:55931      ESTABLISHED
  TCP    127.0.0.1:55931        Puget-89256:55930      ESTABLISHED
  TCP    127.0.0.1:55932        Puget-89256:55933      ESTABLISHED
  TCP    127.0.0.1:55933        Puget-89256:55932      ESTABLISHED
  TCP    127.0.0.1:55934        Puget-89256:55935      ESTABLISHED
  TCP    127.0.0.1:55935        Puget-89256:55934      ESTABLISHED
  TCP    127.0.0.1:55936        Puget-89256:55937      ESTABLISHED
  TCP    127.0.0.1:55937        Puget-89256:55936      ESTABLISHED
  TCP    127.0.0.1:55938        Puget-89256:55939      ESTABLISHED
  TCP    127.0.0.1:55939        Puget-89256:55938      ESTABLISHED
  TCP    127.0.0.1:55940        Puget-89256:55941      ESTABLISHED
  TCP    127.0.0.1:55941        Puget-89256:55940      ESTABLISHED
  TCP    127.0.0.1:55942        Puget-89256:55943      ESTABLISHED
  TCP    127.0.0.1:55943        Puget-89256:55942      ESTABLISHED
  TCP    127.0.0.1:56036        Puget-89256:0          LISTENING
  TCP    127.0.0.1:56036        Puget-89256:56088      ESTABLISHED
  TCP    127.0.0.1:56037        Puget-89256:0          LISTENING
  TCP    127.0.0.1:56037        Puget-89256:56046      ESTABLISHED
  TCP    127.0.0.1:56037        Puget-89256:56094      ESTABLISHED
  TCP    127.0.0.1:56038        Puget-89256:0          LISTENING
  TCP    127.0.0.1:56038        Puget-89256:56097      ESTABLISHED
  TCP    127.0.0.1:56039        Puget-89256:0          LISTENING
  TCP    127.0.0.1:56040        Puget-89256:0          LISTENING
  TCP    127.0.0.1:56040        Puget-89256:56043      ESTABLISHED
  TCP    127.0.0.1:56040        Puget-89256:56091      ESTABLISHED
  TCP    127.0.0.1:56041        Puget-89256:56042      ESTABLISHED
  TCP    127.0.0.1:56042        Puget-89256:56041      ESTABLISHED
  TCP    127.0.0.1:56043        Puget-89256:56040      ESTABLISHED
  TCP    127.0.0.1:56044        Puget-89256:56045      ESTABLISHED
  TCP    127.0.0.1:56045        Puget-89256:56044      ESTABLISHED
  TCP    127.0.0.1:56046        Puget-89256:56037      ESTABLISHED
  TCP    127.0.0.1:56053        Puget-89256:56054      ESTABLISHED
  TCP    127.0.0.1:56054        Puget-89256:56053      ESTABLISHED
  TCP    127.0.0.1:56055        Puget-89256:56056      ESTABLISHED
  TCP    127.0.0.1:56056        Puget-89256:56055      ESTABLISHED
  TCP    127.0.0.1:56057        Puget-89256:56058      ESTABLISHED
  TCP    127.0.0.1:56058        Puget-89256:56057      ESTABLISHED
  TCP    127.0.0.1:56059        Puget-89256:56060      ESTABLISHED
  TCP    127.0.0.1:56060        Puget-89256:56059      ESTABLISHED
  TCP    127.0.0.1:56061        Puget-89256:56062      ESTABLISHED
  TCP    127.0.0.1:56062        Puget-89256:56061      ESTABLISHED
  TCP    127.0.0.1:56063        Puget-89256:56064      ESTABLISHED
  TCP    127.0.0.1:56064        Puget-89256:56063      ESTABLISHED
  TCP    127.0.0.1:56065        Puget-89256:56066      ESTABLISHED
  TCP    127.0.0.1:56066        Puget-89256:56065      ESTABLISHED
  TCP    127.0.0.1:56067        Puget-89256:56068      ESTABLISHED
  TCP    127.0.0.1:56068        Puget-89256:56067      ESTABLISHED
  TCP    127.0.0.1:56069        Puget-89256:56070      ESTABLISHED
  TCP    127.0.0.1:56070        Puget-89256:56069      ESTABLISHED
  TCP    127.0.0.1:56071        Puget-89256:0          LISTENING
  TCP    127.0.0.1:56072        Puget-89256:56073      ESTABLISHED
  TCP    127.0.0.1:56073        Puget-89256:56072      ESTABLISHED
